epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4032.53,1.64969,1.00897,1.65167,0.71679,0.70579,0.69747,0.27519,2.01982,1.06608,1.99135,0.000644145,0.000644145,0.000644145
43,4120.65,1.62391,0.98861,1.65519,0.70364,0.63989,0.66183,0.28404,1.98944,1.06382,1.98503,0.0006411,0.0006411,0.0006411
44,4209.06,1.62858,0.98767,1.62919,0.74766,0.66935,0.7113,0.30371,2.00858,1.06513,1.97776,0.000638055,0.000638055,0.000638055
45,4302.08,1.61924,0.96536,1.63364,0.8005,0.66272,0.71694,0.29097,1.98397,1.0805,1.97236,0.000635009,0.000635009,0.000635009
46,4405.22,1.60474,0.95256,1.65054,0.72117,0.70698,0.70969,0.30391,2.00406,1.0497,1.99403,0.000631964,0.000631964,0.000631964
47,4513.91,1.63137,0.96217,1.63764,0.77267,0.68963,0.73194,0.29836,1.96487,1.03924,1.95524,0.000628919,0.000628919,0.000628919
48,4602.54,1.60749,0.94275,1.62854,0.76063,0.70135,0.70148,0.28634,1.9977,1.01917,2.00813,0.000625874,0.000625874,0.000625874
49,4709.89,1.60664,0.93794,1.64237,0.72488,0.67721,0.69913,0.28895,1.98652,1.06206,1.99108,0.000622828,0.000622828,0.000622828
50,4811.7,1.61643,0.93563,1.64138,0.73859,0.66532,0.69097,0.29671,1.97995,1.05276,1.97809,0.000619783,0.000619783,0.000619783
51,4914.05,1.57422,0.91835,1.61468,0.73473,0.67775,0.68702,0.29281,1.99666,1.01552,1.99955,0.000616738,0.000616738,0.000616738
52,5023.99,1.58283,0.90273,1.62556,0.76844,0.71648,0.73965,0.2978,2.00949,1.04996,1.99695,0.000613693,0.000613693,0.000613693
53,5112.24,1.58712,0.91084,1.60394,0.73732,0.66986,0.68683,0.29114,1.99134,1.0427,1.99085,0.000610648,0.000610648,0.000610648
54,5201.16,1.58429,0.91029,1.61903,0.76831,0.67606,0.70028,0.29349,1.97453,1.01854,1.97646,0.000607602,0.000607602,0.000607602
55,5303.79,1.57562,0.90882,1.60416,0.75576,0.7407,0.75196,0.30756,1.99779,1.00638,1.98139,0.000604557,0.000604557,0.000604557
56,5403.65,1.57575,0.90861,1.5988,0.71489,0.67625,0.68149,0.29669,1.99709,1.01228,1.97952,0.000601512,0.000601512,0.000601512
57,5506.39,1.56916,0.90718,1.61303,0.72746,0.64269,0.70449,0.29411,2.0244,1.00812,2.01314,0.000598467,0.000598467,0.000598467
58,5611.43,1.5451,0.88338,1.60201,0.74376,0.70646,0.71479,0.29094,2.00815,1.01778,2.02103,0.000595421,0.000595421,0.000595421
59,5703.62,1.55143,0.89438,1.61813,0.68863,0.74026,0.70435,0.2995,2.03003,1.01468,2.04303,0.000592376,0.000592376,0.000592376
60,5791.37,1.55137,0.87541,1.59959,0.69177,0.73603,0.6917,0.29479,2.01016,1.0163,2.01007,0.000589331,0.000589331,0.000589331
61,5879.66,1.5568,0.87578,1.59342,0.74145,0.65029,0.69167,0.29405,1.99572,0.99939,1.99564,0.000586286,0.000586286,0.000586286
62,5967.46,1.53019,0.87412,1.57799,0.6945,0.69148,0.69779,0.29828,2.00413,1.01383,2.0224,0.00058324,0.00058324,0.00058324
63,6069.78,1.52211,0.86056,1.58931,0.75678,0.71273,0.72652,0.30042,2.00549,0.99727,2.00503,0.000580195,0.000580195,0.000580195
64,6158.07,1.52476,0.85605,1.58978,0.7558,0.66447,0.69235,0.30215,1.99644,1.0436,2.02831,0.00057715,0.00057715,0.00057715
65,6246.17,1.52629,0.85234,1.59665,0.73265,0.70769,0.69029,0.28811,1.99435,0.9737,2.02413,0.000574105,0.000574105,0.000574105
66,6334.28,1.53073,0.8546,1.58322,0.76742,0.71505,0.70723,0.29784,1.96135,0.96999,1.98167,0.000571059,0.000571059,0.000571059
67,6422.22,1.54512,0.86501,1.58194,0.77805,0.70582,0.72367,0.29261,2.01396,0.98251,2.02304,0.000568014,0.000568014,0.000568014
68,6511.05,1.5281,0.84955,1.59303,0.74973,0.707,0.7068,0.29619,2.00312,1.01094,2.02748,0.000564969,0.000564969,0.000564969
69,6599.23,1.51425,0.84325,1.57657,0.75229,0.67383,0.68732,0.29767,2.01316,1.0113,2.01657,0.000561924,0.000561924,0.000561924
70,6687.39,1.51249,0.83652,1.5618,0.74883,0.71628,0.72003,0.2955,2.03982,1.0202,2.05045,0.000558878,0.000558878,0.000558878
71,6789.65,1.52094,0.84583,1.5807,0.77285,0.67119,0.71723,0.30201,1.98303,1.00356,2.01853,0.000555833,0.000555833,0.000555833
72,6878.05,1.50348,0.85911,1.5751,0.68766,0.70212,0.69968,0.29467,1.99515,1.03171,2.00844,0.000552788,0.000552788,0.000552788
73,6965.88,1.50066,0.83638,1.56761,0.73742,0.70015,0.71007,0.30131,1.98503,0.97931,2.01005,0.000549743,0.000549743,0.000549743
74,7054.16,1.50238,0.83197,1.55878,0.73069,0.68731,0.70269,0.30159,2.00787,0.97468,2.02971,0.000546697,0.000546697,0.000546697
75,7142.23,1.49578,0.8334,1.56323,0.77167,0.66446,0.70258,0.29087,2.00974,1.01114,2.03257,0.000543652,0.000543652,0.000543652
76,7230.69,1.5028,0.82913,1.58333,0.76258,0.69008,0.73185,0.30271,2.00255,1.01612,2.05245,0.000540607,0.000540607,0.000540607
