epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2500.72,1.58793,0.92724,1.5066,0.74908,0.76326,0.7534,0.35487,1.93407,1.04227,1.86046,0.000644145,0.000644145,0.000644145
43,2558.06,1.56173,0.92537,1.50985,0.68691,0.78719,0.78978,0.37664,1.93045,1.02697,1.86696,0.0006411,0.0006411,0.0006411
44,2619.8,1.56786,0.92657,1.50095,0.67291,0.77448,0.72404,0.32367,1.95394,1.05131,1.90183,0.000638055,0.000638055,0.000638055
45,2677.3,1.56869,0.90879,1.51327,0.71389,0.735,0.7354,0.33136,1.96891,1.02463,1.91145,0.000635009,0.000635009,0.000635009
46,2734.95,1.55339,0.91359,1.50296,0.7041,0.75943,0.72642,0.31525,1.99038,1.0537,1.92849,0.000631964,0.000631964,0.000631964
47,2792.24,1.55582,0.87702,1.49184,0.73575,0.77602,0.77687,0.35896,1.98446,1.01479,1.90803,0.000628919,0.000628919,0.000628919
48,2849.58,1.54438,0.86956,1.48753,0.70208,0.78442,0.78331,0.35557,1.9693,0.99443,1.89452,0.000625874,0.000625874,0.000625874
49,2906.93,1.55184,0.90253,1.50262,0.71648,0.74805,0.77484,0.32868,1.98032,1.02274,1.93437,0.000622828,0.000622828,0.000622828
50,2964.64,1.53155,0.88051,1.49924,0.71475,0.7673,0.73969,0.33124,1.94899,1.05163,1.88272,0.000619783,0.000619783,0.000619783
51,3021.68,1.54857,0.8753,1.48675,0.73974,0.73214,0.75944,0.35312,1.96508,1.04848,1.91301,0.000616738,0.000616738,0.000616738
52,3079.11,1.53962,0.88264,1.48661,0.73074,0.73806,0.76276,0.34983,1.96498,1.02475,1.88248,0.000613693,0.000613693,0.000613693
53,3136.64,1.53125,0.86068,1.47259,0.70758,0.77655,0.75762,0.34673,1.97005,1.02157,1.92828,0.000610648,0.000610648,0.000610648
54,3194.1,1.53146,0.85916,1.48614,0.7218,0.7445,0.76116,0.3423,1.9846,1.04614,1.92731,0.000607602,0.000607602,0.000607602
55,3251.19,1.52839,0.86099,1.47617,0.7407,0.7362,0.75506,0.32337,1.96764,1.02118,1.93945,0.000604557,0.000604557,0.000604557
56,3308.44,1.51885,0.85189,1.47075,0.7295,0.7114,0.75009,0.34211,1.93791,1.01897,1.86918,0.000601512,0.000601512,0.000601512
57,3366.01,1.50759,0.85031,1.46386,0.79296,0.70751,0.75889,0.34402,1.97529,0.99166,1.89225,0.000598467,0.000598467,0.000598467
58,3423.64,1.49063,0.84671,1.46088,0.70507,0.79424,0.73992,0.3445,1.95242,0.99876,1.91143,0.000595421,0.000595421,0.000595421
59,3480.74,1.50393,0.83674,1.46607,0.68781,0.76309,0.73035,0.32118,1.95662,1.00503,1.87025,0.000592376,0.000592376,0.000592376
60,3538,1.4774,0.8162,1.44442,0.69504,0.76303,0.73392,0.34583,1.974,1.06662,1.89619,0.000589331,0.000589331,0.000589331
61,3595.91,1.50054,0.82949,1.45439,0.72126,0.7698,0.75568,0.34883,1.95053,1.02981,1.89288,0.000586286,0.000586286,0.000586286
62,3653.3,1.47396,0.81914,1.45554,0.70504,0.79446,0.78111,0.35221,1.95174,1.02622,1.88247,0.00058324,0.00058324,0.00058324
63,3710.35,1.47526,0.81608,1.44607,0.75083,0.75107,0.76716,0.35503,1.97006,0.99852,1.91832,0.000580195,0.000580195,0.000580195
64,3768.02,1.49344,0.82805,1.46677,0.68053,0.77901,0.75949,0.36001,1.97899,1.0256,1.91603,0.00057715,0.00057715,0.00057715
65,3825.33,1.47997,0.8208,1.4544,0.7124,0.7606,0.73097,0.33041,1.99163,0.99662,1.91837,0.000574105,0.000574105,0.000574105
66,3882.39,1.46055,0.80877,1.44246,0.74184,0.75111,0.77493,0.34265,1.9926,1.0226,1.89946,0.000571059,0.000571059,0.000571059
67,3939.6,1.4831,0.83427,1.45233,0.69389,0.76674,0.76228,0.35868,1.98289,1.03588,1.92779,0.000568014,0.000568014,0.000568014
68,3997.82,1.46863,0.81239,1.43781,0.72504,0.78587,0.7883,0.36493,1.96275,0.94705,1.87929,0.000564969,0.000564969,0.000564969
69,4054.83,1.47952,0.8071,1.44257,0.68429,0.80154,0.78623,0.356,1.98281,1.00175,1.91543,0.000561924,0.000561924,0.000561924
70,4111.97,1.45489,0.79928,1.43558,0.71723,0.77985,0.74107,0.34183,1.96124,0.99699,1.9239,0.000558878,0.000558878,0.000558878
71,4169.08,1.45925,0.80534,1.45006,0.67928,0.79573,0.75579,0.3253,1.9892,1.00358,1.94354,0.000555833,0.000555833,0.000555833
72,4226.95,1.45908,0.7993,1.43767,0.73253,0.77602,0.75825,0.33548,1.99382,0.99962,1.94486,0.000552788,0.000552788,0.000552788
73,4284.03,1.43679,0.7977,1.42926,0.72654,0.74865,0.76436,0.34809,1.97363,1.00745,1.92161,0.000549743,0.000549743,0.000549743
74,4341.18,1.43317,0.77357,1.41845,0.74914,0.76899,0.74369,0.33221,1.97217,1.00805,1.91839,0.000546697,0.000546697,0.000546697
75,4398.07,1.43665,0.79163,1.41807,0.7321,0.79203,0.74966,0.34026,1.99552,0.99617,1.95195,0.000543652,0.000543652,0.000543652
76,4455.69,1.4219,0.78503,1.42629,0.71924,0.77328,0.74237,0.33705,1.98586,1.01045,1.93249,0.000540607,0.000540607,0.000540607
77,4512.99,1.44598,0.77615,1.41992,0.73536,0.73935,0.71144,0.32436,1.98062,1.04193,1.93972,0.000537562,0.000537562,0.000537562
