epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1992.72,1.62716,0.94016,1.54796,0.67179,0.67731,0.6505,0.26799,1.94063,0.9739,1.83372,0.000644145,0.000644145,0.000644145
43,2040.2,1.60587,0.90496,1.52951,0.66082,0.6971,0.65376,0.27358,1.94974,1.04485,1.85814,0.0006411,0.0006411,0.0006411
44,2087.17,1.61618,0.91826,1.54117,0.66876,0.6507,0.63383,0.26649,1.97711,1.05216,1.84461,0.000638055,0.000638055,0.000638055
45,2133.78,1.60215,0.91745,1.54635,0.65545,0.69451,0.64643,0.26555,1.98038,1.01442,1.85934,0.000635009,0.000635009,0.000635009
46,2180.35,1.59241,0.90741,1.5432,0.68689,0.66189,0.66679,0.27282,1.95719,1.05333,1.84573,0.000631964,0.000631964,0.000631964
47,2227.01,1.60286,0.94012,1.54139,0.70108,0.67819,0.66152,0.27631,1.94561,1.03586,1.83191,0.000628919,0.000628919,0.000628919
48,2273.66,1.57015,0.9006,1.50978,0.70883,0.68214,0.69326,0.28753,1.95326,0.9913,1.83803,0.000625874,0.000625874,0.000625874
49,2320.59,1.58139,0.91062,1.54266,0.7096,0.65079,0.66406,0.27856,1.99808,1.00843,1.89528,0.000622828,0.000622828,0.000622828
50,2367.52,1.56073,0.88106,1.50688,0.67796,0.64299,0.62054,0.2548,1.984,1.04245,1.87883,0.000619783,0.000619783,0.000619783
51,2416.37,1.56306,0.87721,1.51564,0.67817,0.68325,0.65124,0.26805,1.97165,1.01511,1.83372,0.000616738,0.000616738,0.000616738
52,2463.04,1.55692,0.88167,1.50727,0.66412,0.68594,0.63135,0.26504,1.95845,1.02199,1.8607,0.000613693,0.000613693,0.000613693
53,2509.66,1.55948,0.87188,1.50799,0.67103,0.69223,0.65541,0.27056,1.97941,1.05563,1.89198,0.000610648,0.000610648,0.000610648
54,2556.94,1.53612,0.85486,1.51636,0.66571,0.66118,0.62139,0.26589,1.96645,1.00517,1.85518,0.000607602,0.000607602,0.000607602
55,2604.6,1.54192,0.85337,1.5102,0.63983,0.65216,0.63067,0.26636,1.99482,0.97948,1.89176,0.000604557,0.000604557,0.000604557
56,2652.14,1.5274,0.85599,1.49124,0.67477,0.66515,0.64847,0.28512,1.99528,0.98819,1.91001,0.000601512,0.000601512,0.000601512
57,2699.5,1.53309,0.85579,1.49589,0.69916,0.6834,0.67985,0.28401,1.9598,0.9867,1.8755,0.000598467,0.000598467,0.000598467
58,2746.78,1.5241,0.84087,1.49597,0.65553,0.71375,0.67309,0.2892,1.96297,0.97994,1.89482,0.000595421,0.000595421,0.000595421
59,2793.55,1.53665,0.85348,1.49862,0.70687,0.66201,0.65204,0.27168,1.98768,1.01814,1.87783,0.000592376,0.000592376,0.000592376
60,2840.31,1.52229,0.84117,1.485,0.68814,0.67122,0.65531,0.27264,1.98345,1.01779,1.8934,0.000589331,0.000589331,0.000589331
61,2888.57,1.5404,0.84532,1.50648,0.65847,0.69802,0.64763,0.27406,1.99765,0.98583,1.92694,0.000586286,0.000586286,0.000586286
62,2935.17,1.51988,0.82152,1.4887,0.61244,0.64063,0.62026,0.25622,2.01654,1.02053,1.93661,0.00058324,0.00058324,0.00058324
63,2981.63,1.52218,0.82814,1.4868,0.68185,0.72844,0.68917,0.28189,1.98405,0.96949,1.87035,0.000580195,0.000580195,0.000580195
64,3028.35,1.50975,0.8277,1.48013,0.71354,0.6927,0.66992,0.28109,2.01862,0.96044,1.90986,0.00057715,0.00057715,0.00057715
65,3075.17,1.49834,0.81795,1.47358,0.63882,0.69427,0.62932,0.26066,2.005,0.99702,1.91812,0.000574105,0.000574105,0.000574105
66,3121.84,1.4988,0.82222,1.49308,0.66241,0.71206,0.67764,0.28087,1.95289,0.96349,1.85539,0.000571059,0.000571059,0.000571059
67,3169.14,1.4998,0.8198,1.4594,0.69087,0.69851,0.66444,0.26922,1.98945,0.98932,1.88164,0.000568014,0.000568014,0.000568014
68,3216.51,1.49555,0.80914,1.47475,0.6873,0.71828,0.65918,0.26224,2.00018,0.98374,1.93056,0.000564969,0.000564969,0.000564969
69,3263.43,1.48797,0.80431,1.47227,0.67045,0.68462,0.65375,0.26947,2.02557,1.04665,1.9317,0.000561924,0.000561924,0.000561924
70,3310.1,1.46513,0.78815,1.46001,0.64508,0.69768,0.65069,0.2578,2.01901,0.97928,1.89479,0.000558878,0.000558878,0.000558878
71,3358.13,1.47511,0.82009,1.4673,0.67148,0.71654,0.64962,0.27232,2.00912,0.95975,1.91651,0.000555833,0.000555833,0.000555833
72,3404.65,1.4685,0.80484,1.46082,0.66903,0.67135,0.65361,0.26709,2.00397,0.98897,1.9121,0.000552788,0.000552788,0.000552788
73,3451.29,1.47838,0.8011,1.45387,0.68721,0.71023,0.65661,0.26857,1.97485,0.97639,1.9062,0.000549743,0.000549743,0.000549743
74,3497.93,1.4724,0.79935,1.4498,0.69333,0.71701,0.66872,0.26933,2.00976,0.97188,1.88921,0.000546697,0.000546697,0.000546697
75,3544.66,1.48356,0.78386,1.45148,0.63097,0.6947,0.6335,0.25945,2.02795,1,1.93216,0.000543652,0.000543652,0.000543652
76,3591.12,1.43525,0.77987,1.45431,0.68761,0.6974,0.62244,0.25669,2.03683,0.97886,1.95909,0.000540607,0.000540607,0.000540607
77,3638.12,1.45755,0.78698,1.45714,0.68185,0.69943,0.66414,0.27943,1.98828,0.97713,1.91255,0.000537562,0.000537562,0.000537562
