epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1036.23,1.61626,1.01071,1.44102,0.65188,0.72802,0.69735,0.3133,1.93986,1.12773,1.71838,0.000644145,0.000644145,0.000644145
43,1059.61,1.60411,0.98319,1.44283,0.7299,0.68384,0.75926,0.32166,1.93742,1.14924,1.70967,0.0006411,0.0006411,0.0006411
44,1083.59,1.60049,0.97485,1.43609,0.78813,0.64432,0.72196,0.31315,1.94971,1.09612,1.69099,0.000638055,0.000638055,0.000638055
45,1106.68,1.59499,0.96738,1.42817,0.72733,0.77488,0.79172,0.36751,1.92918,1.0954,1.6914,0.000635009,0.000635009,0.000635009
46,1130.66,1.58796,0.96705,1.44562,0.66481,0.75599,0.7029,0.30657,1.94357,1.13938,1.70303,0.000631964,0.000631964,0.000631964
47,1154.25,1.5996,0.9682,1.43221,0.63725,0.81053,0.7664,0.30939,1.93502,1.13337,1.71393,0.000628919,0.000628919,0.000628919
48,1178.77,1.58517,0.96233,1.42501,0.83653,0.72988,0.79295,0.31549,1.94203,1.0937,1.71795,0.000625874,0.000625874,0.000625874
49,1204.35,1.57577,0.96638,1.43427,0.68695,0.78174,0.73743,0.32233,1.94795,1.11715,1.72549,0.000622828,0.000622828,0.000622828
50,1228.2,1.58194,0.9742,1.42184,0.66539,0.84526,0.80823,0.35308,1.94815,1.0891,1.72163,0.000619783,0.000619783,0.000619783
51,1252.32,1.59097,0.94821,1.43623,0.6858,0.72773,0.70035,0.29724,1.94939,1.08477,1.70212,0.000616738,0.000616738,0.000616738
52,1277.21,1.57303,0.93981,1.42267,0.74798,0.75805,0.76369,0.32818,1.95169,1.08072,1.72617,0.000613693,0.000613693,0.000613693
53,1300.65,1.56525,0.9255,1.41441,0.82004,0.74257,0.81017,0.35939,1.90655,1.03049,1.6832,0.000610648,0.000610648,0.000610648
54,1325.15,1.57596,0.93511,1.41397,0.64033,0.81626,0.79034,0.3323,1.95878,1.08677,1.71818,0.000607602,0.000607602,0.000607602
55,1349.48,1.57697,0.93009,1.41307,0.83399,0.64869,0.74055,0.31612,1.91407,1.04269,1.68571,0.000604557,0.000604557,0.000604557
56,1372.72,1.55567,0.91746,1.41348,0.83031,0.63614,0.71727,0.31361,1.92945,1.03937,1.72079,0.000601512,0.000601512,0.000601512
57,1396.56,1.54766,0.92237,1.41202,0.66721,0.86117,0.82226,0.38658,1.95133,1.0365,1.74188,0.000598467,0.000598467,0.000598467
58,1420.13,1.54251,0.91311,1.40689,0.67403,0.82241,0.81517,0.34424,1.91781,1.06171,1.70213,0.000595421,0.000595421,0.000595421
59,1444.28,1.52711,0.91126,1.40227,0.62503,0.82595,0.80701,0.33728,1.93746,1.07109,1.69791,0.000592376,0.000592376,0.000592376
60,1467.68,1.53852,0.89434,1.39466,0.82299,0.771,0.80132,0.36087,1.94471,1.06757,1.71667,0.000589331,0.000589331,0.000589331
61,1490.78,1.54611,0.88976,1.38925,0.78307,0.77497,0.81716,0.36275,1.93259,1.05252,1.70716,0.000586286,0.000586286,0.000586286
62,1514.5,1.53079,0.89464,1.38886,0.78351,0.78975,0.81142,0.36393,1.9259,1.0369,1.69101,0.00058324,0.00058324,0.00058324
63,1538.79,1.53799,0.90788,1.39739,0.82387,0.75913,0.8062,0.34091,1.94053,1.05738,1.72977,0.000580195,0.000580195,0.000580195
64,1562.52,1.53643,0.90316,1.39578,0.83467,0.77439,0.8133,0.34469,1.92696,1.0327,1.72659,0.00057715,0.00057715,0.00057715
65,1585.95,1.52959,0.89502,1.39556,0.81276,0.7569,0.80522,0.33855,1.96722,1.02263,1.72886,0.000574105,0.000574105,0.000574105
