epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1329.97,1.57406,0.88465,1.42687,0.73148,0.70473,0.71356,0.29335,1.95676,1.0808,1.74522,0.000644145,0.000644145,0.000644145
43,1359.96,1.57179,0.89994,1.44113,0.75057,0.75867,0.74008,0.31688,1.95566,1.07323,1.77597,0.0006411,0.0006411,0.0006411
44,1390.49,1.54884,0.87853,1.4371,0.75389,0.71874,0.74823,0.31595,1.95954,1.06887,1.77602,0.000638055,0.000638055,0.000638055
45,1421.79,1.55346,0.8852,1.42747,0.73862,0.72691,0.74575,0.32665,1.95223,1.04325,1.78534,0.000635009,0.000635009,0.000635009
46,1452.04,1.52891,0.88475,1.42101,0.75013,0.74817,0.75274,0.30899,1.96086,1.05765,1.76713,0.000631964,0.000631964,0.000631964
47,1482.44,1.57637,0.88881,1.42586,0.7368,0.74067,0.73971,0.30962,1.97487,1.06112,1.79106,0.000628919,0.000628919,0.000628919
48,1513.62,1.5535,0.87795,1.43127,0.77886,0.74818,0.75472,0.32899,1.94862,1.10172,1.79626,0.000625874,0.000625874,0.000625874
49,1544.07,1.55122,0.87303,1.43544,0.74392,0.76039,0.76276,0.31287,1.97472,1.03749,1.77446,0.000622828,0.000622828,0.000622828
50,1574.4,1.52164,0.85256,1.4114,0.76675,0.68325,0.71396,0.30629,1.98206,1.06991,1.80167,0.000619783,0.000619783,0.000619783
51,1604.87,1.52547,0.84275,1.40024,0.78681,0.72278,0.74434,0.31708,1.96627,1.06509,1.77788,0.000616738,0.000616738,0.000616738
52,1635.45,1.52986,0.85211,1.40358,0.7686,0.71128,0.74465,0.3208,1.96315,1.05863,1.78846,0.000613693,0.000613693,0.000613693
53,1665.67,1.51256,0.84328,1.39957,0.77467,0.73113,0.74963,0.31789,1.98223,1.05623,1.78242,0.000610648,0.000610648,0.000610648
54,1696.09,1.52606,0.83088,1.40172,0.7074,0.72463,0.74262,0.32086,1.95565,1.06268,1.78729,0.000607602,0.000607602,0.000607602
55,1727.08,1.51102,0.83094,1.39655,0.75275,0.75035,0.74569,0.31703,1.99629,1.05209,1.80551,0.000604557,0.000604557,0.000604557
